,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
31,PA14_13740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PA14_18565,PA14_29300,PA14_36690,PA14_37310,PA14_38290,PA14_42770,PA14_71920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PA14_33720,PA14_34730,PA14_35920,PA14_38700,PA14_50470,PA14_59050,PA14_64270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PA14_25450,PA14_72620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,229558721|SAUSA300_1367|SAUSA300_1367|,87159965|SAUSA300_1471|SAUSA300_1471|,87159991|SAUSA300_1288|SAUSA300_1288|,87160078|SAUSA300_0885|SAUSA300_0885|,87160153|SAUSA300_1152|SAUSA300_1152|,87160175|SAUSA300_0779|SAUSA300_0779|,87160351|SAUSA300_1842|SAUSA300_1842|,87160352|SAUSA300_0857|SAUSA300_0857|,87160520|SAUSA300_2460|SAUSA300_2460|,87160545|SAUSA300_1448|SAUSA300_1448|,87160768|SAUSA300_1703|SAUSA300_1703|,87160862|SAUSA300_1879|SAUSA300_1879|,87160883|SAUSA300_2102|SAUSA300_2102|,87160957|SAUSA300_1463|SAUSA300_1463|,87161038|SAUSA300_0916|SAUSA300_0916|,87161044|SAUSA300_1100|SAUSA300_1100|,87161086|SAUSA300_1316|SAUSA300_1316|,87161156|SAUSA300_0970|SAUSA300_0970|,87161175|SAUSA300_0468|SAUSA300_0468|,87161264|SAUSA300_0339|SAUSA300_0339|,87161266|SAUSA300_2024|SAUSA300_2024|,87161313|SAUSA300_0777|SAUSA300_0777|,87161327|SAUSA300_2088|SAUSA300_2088|,87161328|SAUSA300_2518|SAUSA300_2518|,87161331|SAUSA300_0562|SAUSA300_0562|,87161381|SAUSA300_1857|SAUSA300_1857|,87161515|SAUSA300_0764|SAUSA300_0764|,87161527|SAUSA300_1572|SAUSA300_1572|,87161595|SAUSA300_0969|SAUSA300_0969|,87161713|SAUSA300_0385|SAUSA300_0385|,87161752|SAUSA300_2163|SAUSA300_2163|,87161808|SAUSA300_0906|SAUSA300_0906|,87161816|SAUSA300_0875|SAUSA300_0875|,87161900|SAUSA300_0722|SAUSA300_0722|,87161938|SAUSA300_0938|SAUSA300_0938|,87161968|SAUSA300_0789|SAUSA300_0789|,87162021|SAUSA300_1125|SAUSA300_1125|,87162115|SAUSA300_1687|SAUSA300_1687|,87162271|SAUSA300_0474|SAUSA300_0474|,87162311|SAUSA300_1728|SAUSA300_1728|,87162375|SAUSA300_1323|SAUSA300_1323|,87162382|SAUSA300_1315|SAUSA300_1315|,PA14_00650,PA14_12570,PA14_21530,PA14_66320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PA14_23790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PA14_29710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,87160084|SAUSA300_0515|SAUSA300_0515|,87160338|SAUSA300_1645|SAUSA300_1645|,87160350|SAUSA300_2165|SAUSA300_2165|,87160676|SAUSA300_1227|SAUSA300_1227|,87160968|SAUSA300_0555|SAUSA300_0555|,87161439|SAUSA300_0871|SAUSA300_0871|,87161593|SAUSA300_1558|SAUSA300_1558|,87161647|SAUSA300_0835|SAUSA300_0835|,87161679|SAUSA300_1156|SAUSA300_1156|,87161880|SAUSA300_1900|SAUSA300_1900|,87161930|SAUSA300_2492|SAUSA300_2492|,PA14_10610,PA14_52430,PA14_53790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PA14_56590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,87160364|SAUSA300_1192|SAUSA300_1192|,87160743|SAUSA300_2411|SAUSA300_2411|,87161323|SAUSA300_1600|SAUSA300_1600|,87161414|SAUSA300_0105|SAUSA300_0105|,87161596|SAUSA300_1131|SAUSA300_1131|,87161697|SAUSA300_1567|SAUSA300_1567|,87161797|SAUSA300_1554|SAUSA300_1554|,87161907|SAUSA300_1169|SAUSA300_1169|,87161950|SAUSA300_1621|SAUSA300_1621|,87162126|SAUSA300_2038|SAUSA300_2038|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
